sampleID,tubeID,species,depthFt,region,site,latDD,longDD,od,bd,h
10-IX-20-2-010,SFX050,Xestospongia muta,71,Jupiter,SEFL-05,26.927445,-80.0301,15.958,17.804,7.71
10-IX-20-3-001,SFX051,Xestospongia muta,65,Jupiter,SEFL-04,26.94370833,-80.02197167,14.741,25.85,11.2
10-IX-20-3-002,SFX052,Xestospongia muta,69,Jupiter,SEFL-04,26.94370833,-80.02197167,27.274,40.668,31.847
10-IX-20-3-003,SFX053,Xestospongia muta,68,Jupiter,SEFL-04,26.94370833,-80.02197167,10.253,20.507,15.099
10-IX-20-3-004,SFX054,Xestospongia muta,67,Jupiter,SEFL-04,26.94370833,-80.02197167,16.032,30.976,19.089
10-IX-20-3-005,SFX055,Xestospongia muta,67,Jupiter,SEFL-04,26.94370833,-80.02197167,8.05,20.913,6.515
10-IX-20-3-006,SFX056,Xestospongia muta,68,Jupiter,SEFL-04,26.94370833,-80.02197167,11,21.051,15.014
10-IX-20-3-007,SFX057,Xestospongia muta,67,Jupiter,SEFL-04,26.94370833,-80.02197167,10.125,21.334,10.306
10-IX-20-3-008,SFX058,Xestospongia muta,66,Jupiter,SEFL-04,26.94370833,-80.02197167,7.521,20.771,14.411
10-IX-20-3-009,SFX059,Xestospongia muta,66,Jupiter,SEFL-04,26.94370833,-80.02197167,3.757,9.53,6.252
10-IX-20-3-010,SFX060,Xestospongia muta,68,Jupiter,SEFL-04,26.94370833,-80.02197167,15.573,21.603,10.515
11-XII-20-1-001,SFX061,Xestospongia muta,17,Ft. Lauderdale,T328,26.17615333,-80.09386333,4.547,9.427,8.245
11-XII-20-1-002,SFX062,Xestospongia muta,17,Ft. Lauderdale,T328,26.17615333,-80.09386333,6.72,18.086,18.437
11-XII-20-1-003,SFX063,Xestospongia muta,15,Ft. Lauderdale,T328,26.17615333,-80.09386333,4.067,10.344,9.982
11-XII-20-1-004,SFX064,Xestospongia muta,15,Ft. Lauderdale,T328,26.17615333,-80.09386333,19.676,21.108,15.278
11-XII-20-1-005,SFX065,Xestospongia muta,19,Ft. Lauderdale,T328,26.17615333,-80.09386333,8.027,8.939,8.501
11-XII-20-1-006,SFX066,Xestospongia muta,16,Ft. Lauderdale,T328,26.17615333,-80.09386333,12.363,14.059,12.252
11-XII-20-1-007,SFX067,Xestospongia muta,17,Ft. Lauderdale,T328,26.17615333,-80.09386333,10.926,19.08,11.798
11-XII-20-1-008,SFX068,Xestospongia muta,18,Ft. Lauderdale,T328,26.17615333,-80.09386333,24.047,26.067,17.779
11-XII-20-1-009,SFX069,Xestospongia muta,18,Ft. Lauderdale,T328,26.17615333,-80.09386333,13.988,16.162,15.958
11-XII-20-1-010,SFX070,Xestospongia muta,17,Ft. Lauderdale,T328,26.17615333,-80.09386333,25.099,30.046,25.937
11-XII-20-2-001,SFX071,Xestospongia muta,20,Ft. Lauderdale,FTL4,26.1368,-80.0974,9.331,17.753,8.51
11-XII-20-2-002,SFX072,Xestospongia muta,21,Ft. Lauderdale,FTL4,26.1368,-80.0974,5.032,12.366,11.281
11-XII-20-2-003,SFX073,Xestospongia muta,21,Ft. Lauderdale,FTL4,26.1368,-80.0974,20.083,23.014,19.961
11-XII-20-2-004,SFX074,Xestospongia muta,20,Ft. Lauderdale,FTL4,26.1368,-80.0974,13.876,20.426,21.502
